Id,title,idea,rating,labels,labels_viability,labels_feasibility,labels_desirability
335VBRURDJCUNCHI5RUBRX8NZRI9EE,335VBRURDJCUNCHI5RUBRX8NZRI9EE, Simple community banking where everyone benefits and is primarily focused on providing financial services for those who need it most. First and foremost- the solution benefits those who are unable to access traditional banking accounts and services. Secondly- it benefits those who support such people to have better access to financial services (e.g.- the donors)- giving them knowledge that they are able to help fellow members of the community. It also allows such people to donate time in kind to staff with their ‘mobile’ banks. It also provides a forum for banks to support their local communities (and their CSR obligations). As per the description above- it’s the power of the community that propels the network. The solution can be built to start small: •A community bank (Bendigo Bank- Sydney AU) can be approached about diverting a percentage of its community funding to subsidise the cost of accounts and micro loans for a few people – a simple product with no charges or interest •Once successful- ‘traditional’ banking customers can directly donate money through a ‘keep the change’ approach •As a parallel activity of bringing the bank to the at-risk community members can be rolled out at any point Further insights and resources to aid in the refinement and implementation of the solution. An OpenIDEO Meetup,2,2,2,3,2
337F8MIIMZPUZGWCGPZ5P0V3JYU40R,337F8MIIMZPUZGWCGPZ5P0V3JYU40R, Grassroots level education through community leaders who will be provided with incentives for their performance and production. There will be two main players in this project - the community and the ambassador. The community will be given financial access through the ambassadors and they can approach them with ease for any questions or concerns instead of going to somewhere or someone distant to the community. The ambassador will be given incentives for their performance as access points for the community - they can sell bank accounts and also serve as teachers for their community. Through the ambassadors- the community members can easily open bank accounts for themselves and their families. Targeting areas with BanKO partner outlets or establishments- they can easily cash in and out of their accounts. They will be given access to different financial services such as cash in and out- purchase of airtime for a discounted rate- send money through their phones- pay utility bills- buy insurance- and apply for loans. BanKO can perform a pilot test in 2 areas in Metro Manila- Philippines - Quezon City and Las Pinas City. The company is targeting those communities since parent leaders were already contacted and the areas are near the head office of the company. They can easily be reached for any updates and can be easily gathered for any orientation or refresher sessions. BanKO is very open and willing to learn on how they can effectively educate the community leaders and members. Guidance in making the project more human-centered and more effective in replicating for different areas. OpenIDEO will definitely be able to refine and shape the goal and plans into something that can improve the lives ofthe Filipino people. An organization,2,2,2,2,3
3421H3BM9AT2YS3AJS52ODLF4ZE9JZ,3421H3BM9AT2YS3AJS52ODLF4ZE9JZ, Napkin Finance is a visual- engaging- and fun guide to learning about money and finance. Our mission is to help millennials and young adults make smart money decisions. We have developed Napkin Finance as a quick and easy resource on everything you need to know about money in 30 seconds or less. It teaches readers how to take ownership of their personal finances and understand the power and impact behind making informed money decisions.Our platform helps organizations and financial institutions create a lifetime of financial well-being for their members and customers. Learning about finance can be intimidating and oftentimes overwhelming. The opportunity to create a lifetime of financial success is limited by the lack of access and skills.We partner with organizations that are working with young adults that may never otherwise have access to financial education. Napkin Finance has become a community of ideas and concepts that empowers readers to fully understand the complexity of personal finance. The Napkin Finance platform is simple and easy to understand- administer- and distribute. It can be tested in schools and with organizations that are working with young adults.We hope to evaluate the effectiveness of our finance literacy program on different age groups and skill sets.We are also working on a more interactive napkin with videos and clickable images. We are working with specialists and experts in various fields to develop our curriculum and content.From the OpenIDEO community- we would love feedback on the design- clarity- and usefulness of our current program.We would also welcome suggestions for additional topics and categories and how to make the platform more engaging. An organization,3,3,3,4,4
36AZSFEYZ4CUDGI1Y1XHI7RZNMOBVW,36AZSFEYZ4CUDGI1Y1XHI7RZNMOBVW, Use under utilized capacity/resources in the service industry to facilitate growth of community-based micro-entrepreneurs. Well-equipped kitchens and spaces go unused every day in NYC when restaurants close on certain days of the week. Meanwhile- there are a number of people selling homemade food items on the streets (i.e. tamales). If these micro-entrepreneurs can get access to use these unused spaces- they can grow their own output/profit- while restaurants can be paid for the space use through a profit/product share- gain community respect- & possibly incentivize workers to stay employed (if family works there). There would really leverage the core of the neighborhood -- neighbors giving each other a hand up. While logistical boundaries exist- this could blossom within the new sharing economy. This is an opportunity to create bridges between different ethnicities/cultures/communities- connecting restaurants to grow profits and expand menus- while educating individuals on growing a business. University students/city agencies could get involved -- developing business & financial planning skills. We'd have to go out and talk to both restaurants and the micro-entrepreneurs- and determine the boundaries of the businesses (time- resources- etc) as well as the interest of the mirco-entrepreneurs. An OpenIDEO Meetup,3,3,2,3,3
36KM3FWE3RORI3EVINXCSCFDA0K70E,36KM3FWE3RORI3EVINXCSCFDA0K70E, Creating a social card & account linked to a network of community funds & projects within my bank to facilitate social funding & development The idea creates a network within the existing financial system through a community bank as part of an existing bank- that includes accounts for NGOs- local & global community projects- citizens looking for loans and small initiatives as well as bank members willing to contribute financially. In addition- the bank members will get a debit card for their social accounts to facilitate donating and create a simplified connection to those needing funds within the current system & community. Members of the community are often encouraged to do good by seeing others do so. The idea is to give social community hubs- such as cafes- libraries- stores etc. accounts in the community bank or connect them back to the network so as to use them as an outlet for people to use the social card. While buying a coffee- they can use their card to quickly donate to any of the projects registered at the bank. Meanwhile- allowing others to see a simplified way of contributing within their own community A simple way is to create a sample of the social card and start using it within local community hubs and introduce it to the community. Thereby- you can test the communities reaction to the idea and their willingness to become part of the network whether as donor or receiver. It is also essential to test the banks willingness to set up such a network within their system- though it will not require their financial contribution- but merely their management. The idea allows for a lot of creative development and assessment. This includes ideas such as cafes creating their own account for people to put in money for free coffee for homeless people etc. It will also require input and further development as to how to integrate it within the financial system and back to the community. An individual,3,3,4,3,3
378G7J1SJLA5Z8UQY2435HGYXS3EW9,378G7J1SJLA5Z8UQY2435HGYXS3EW9, Embed playgrounds with geometry lessons as a catalyst for independent thinking and empowerment Integrating geometric concepts into the design of playgrounds will produce a tangible and localized catalyst for learning. This idea assumes that we empower communities where education and financial independence remain stagnant. Young children may see the playground in one way as they play. Teenagers may model it with class geometry topics (flexible). Learning in an environment normally intended for play will help to make math concepts fun- relatable and transferable to other endeavors. The idea maintains focus on the design of ‘learning playgrounds.’ It also strives to create dexterity and engagement with a space- its learning and the community. For example- returning students could share their knowledge by explaining to younger kids how ‘learning playgrounds’ can and may have been applied in real life. Local communities could host class projects where students would be responsible for adding design features- class lessons or projects with the playground and its space etc. Kids familiar with geometry (grades 8-12) could be divided into groups. Each group would be given a limited amount of fluorescent colored duct tape. The exercise requires each group to build at least 4 different shapes on the playground. However- each shape can only be made with one color of tape. This exercise promotes critical thinking about space- resources- collaboration and the need to trade equal amounts of tape between groups in order to complete the assignment. (Hand outs encouraged) Child and learning development expertise. Other applications of the idea. Alternative materials. Playground designers. Risks or limitations associated with the exercise. Playground to help.think.play An individual,1,1,1,1,1
379OL9DBSSQSTHY95S65Y003H3N9YT,379OL9DBSSQSTHY95S65Y003H3N9YT, Tackle communities' needs by estimulating physical and online Flea Markets to exchange goods and services in instead of money. This idea benefits anyone who needs a good/service and has something else to exchange for it (apart from money). For the physical Flea Market it is necessary to have a space in the community (either block a street in partnership with governmental authorities or partner with a local school) and promote the activity to bring as many people as possible with its different offers (goods or services). For the online version it is needed a leader who will engageand moderate through a social network. This idea proves that it is possible to be financial independent by only exchanging resources already available in the community. It is a just a matter of creating a connection and learning how to leverage from each other's capabilities and possessions. To test the online Flea Market idea it is possible to pilot it within my facebook friends. I could create a facebook group to exchange goods and services and estimulate my friends to join and exchange among themselves. In that way I could see how much they like the idea and how it could be expanded and replicated. It would be great if OpenIDEO community members could also try this idea in their own friendship circles and share their experiences and feedback here. An individual,3,3,2,4,4
37M4O367VJU9YD7JJZ5DSP8UMXQM5P,37M4O367VJU9YD7JJZ5DSP8UMXQM5P, Philanthropy driven by those who receive funds. This idea will benefit grantees and the constituents they serve. Ultimately the grantee will be the active participant in the proposed structure- acting on behalf of their mission and who they serve. If the recipient of funding can help to determine funding design- type- recipients- and amounts- the philanthropic deployment of funds will more effectively leverage transformation. The community will be the grantor and the involvement of grantee leaders will create more interconnectedness within the impact sector. There have been applications of this model through a process called Shared Gifting. This process has been in application on a smaller scale for decades. More here: http://rsfsocialfinance.org/shared-gifting/ The barriers to creating this model on a larger scale is buy in from funders- likely foundations. The funding sources have their priorities and directives but if the paradigm can shift to one which releases direction of granting to the community- access to capital could stand to benefit from a more inclusive process. Granting is a standard process to the majority - those with funds decide where funds go (even if based on research or experiment). It will be hard to change this paradigm. An organization,3,3,2,4,3
37OPIVELUUFKC5IPNYGH8VGKXPSHAH,37OPIVELUUFKC5IPNYGH8VGKXPSHAH, I'd like to contribute this idea as a PR strategy for our sponsors to utilize. A. Beneficiaries - High school students and their families. It's well documented that financial behaviors start in the family. Like AA (alcoholic anonymous) those with in poor financial condition have a difficult time admitting to the problem. Role models- professional athletes- 'coming out' can have moving impact on others admitting to their current situation.B. Professional Athletes - Thought leaders for change- using their notoriety to give back and educate.C. Sponsors - PR strategy High schools already serve as educational facilitators for local communities. However- there is an issue with gaining enthusiasm around 'personal finance' seminars and classes because well... they're boring- AND more importantly no one wants to admit they are confused by their finances. Given their celebrity status in light of their own money problems- athletes have the power to change the stigma associated with personal finance by being advocates for classes sponsored by local high schools. 1. Have a professional athlete visit their high school to speak about his/her money problems as an equal with the student body and their parents in attendance.2. Have the professional athlete advocate for weekly/monthly class that is sponsored by the high school.3. If this works- scale the operation with more professional athletes across high more high schools and establish a universal curriculum. I have a question and a request. First the question: Do you think professional athletes as advocates for financial education actually have the ability to mobilize those who need it the most? Why or why not?The request: I am seeking our sponsors to help scale this potential campaign (if they see fit). Assuming of course this works in an experimental condition- professional athletes as advocates for better personal finance education has the ability to scale nationally (globally). A group brainstorm,3,3,3,3,3
37VUR2VJ6A1X19U95N9NM3Q1G3HC1F,37VUR2VJ6A1X19U95N9NM3Q1G3HC1F, let each student become real investor Children learns how to earn earn money using money and it will open path to prosperity. A child will receive few bucks that he/she can use for anything but preferably invest in personal brokerage account. To motivate investment- a child will receive extra bucks for each dollar invested. All students will work together and to really earn money and help each other to learn and understadn how financial institutions work This can be done a single class in elementary or middle school.Within few months it can be evaluated whether student are engaged in the process of investing and whether this is a beneficial experience that can help them in the future. Need find cooperating brokerage company who is willing to create a special accounts for each childrenso they can really invest money. A student project or collaboration,2,2,2,3,2
382GHPVPHS3QG8V9ZCHORYTAMAE43M,382GHPVPHS3QG8V9ZCHORYTAMAE43M, Property owners providing free short term accommodation to those in need (e.g. victims of domestic violence) through channels like Airbnb. Existing property owners who already rent out part or all of their property could provide accommodation for free- as a form of (tax deductible?) donation to individuals and families needing short term accomodation and support following a personal/financial crises. This provides people with 'breathing space' in a safe environment to work out their financials and 'where to from here'. This taps into existing communities on site like Airbnb- private rental and couchsurfing sites. It focuses on close geographical communities (i.e. housing people from your own city) and could involve some kind of matching system so that property owners could support people of similar age- who have had a similar crises in the past etc. It could also be facilitated by charities/housing services to reduce risk and increase safety of both parties. Airbnb already offers something like this in the USA for people post a large natural disaster (e.g. Hurricane Sandy). This could be expanded to other countries and other accommodation sites. Input from people using sites like Airbnb as either a guest or a property owner. Input from people working at charities that require housing options for clients (e.g. charities dealing with domestic violence- new migrants- homelessness). This contribution started at the Melbourne OpenIDEO meetup. An OpenIDEO Meetup,4,4,4,4,5
389A2A304OUXUK9R945N8Y7RBBBC0C,389A2A304OUXUK9R945N8Y7RBBBC0C, Allowing those with the financial knowledge to share it with those who need it! It would benefit the immediate community these programs are located in. The main players are volunteers who would spend their time educating others of the concepts of financial responsibility. For example- they could go to high schools or community halls once a week to share their experiences- presenting real life examples rather than conceptual math classes. The volunteers would benefit because by teaching others- they would understand the material better as well as obtain new perspectives. The majority of the volunteers are ideally university students or professors (who are willing to dedicate their time to help others.) This may create a tighter network as each 'teacher' is trying to help someone in his/her community directly. In the long run- those who were initially learning could go on to become volunteers themselves in order to give back to their community- therefore creating a cycle that is constantly changing and evolving. Generation Citizen- a similar project in which volunteers go to local high schools to teach students about making a change in their community has seen some success in the east coast. Their core structure could act as a resource and a model that this new concept could follow. With GC's success in major cities such as Boston & Philadelphia- it does seem viable to assume that this concept could grow in big cities as well. It would be a great starting point if OpenIDEO could provide its network for the project. The first step would be to market what the project is and how it would work. Having a strong network will go a long way with a) getting the message to the public- b) obtaining the volunteers and gauging interest- and c) calculating if the project is feasible on a financial basis. An individual,2,2,1,4,3
39WICJI5AT46J5JYK57ELU6JN5H3ZX,39WICJI5AT46J5JYK57ELU6JN5H3ZX, Education through a tiered approach enabling children to gain financial stability. We wanted to develop a life-centered solution to improve the quality of life for the children- 10 to 15 years old- of Rio de Janeiro's Favelas- specifically Favela Rocinha. With this idea we will help teach children financial responsibility- help them develop resource management skills and empower them to play a part in the transformation of their community into prosperous neighborhoods. People in Brazil's Favelas already have an entrepreneurial spirit with in their communities. We want to encourage this community infrastructure and build from it. We will also engage the community with the promotion and distribution of the program. We would set up a small scale prototype within one of the schools or neighborhood facilities. Facilitating the partnerships. A student project or collaboration,3,3,2,4,4
3BFNCI9LYK2NZVDS1AFVUADKDC4739,3BFNCI9LYK2NZVDS1AFVUADKDC4739, Design informative note and included it with the legal papers before they are signed Peoplethat need to sign legal documents-they will have more information to make better decision The more information people have regard their legal documents the better their decisions will be- the better their decisions are the less financial trouble they will have . Design the informative note and partner with small legal farm to include the informative note with the documents- and then after given it to people ask for their feed back ! - Group brainstorm An individual,3,3,3,4,4
3CIS7GGG65VS745L32P2NTV1CCSEUA,3CIS7GGG65VS745L32P2NTV1CCSEUA, Peer lending network offering a borrowing alternative for those who can't obtain conventional loans; program infrastructure provided by CUs. This program would benefit individuals who cannot oftain a convential loan product from a bank /CU (perhaps due to lack of credit or poor credit). It would also benefit individual's who are interested in taking on more investment risk for a potentially higher yield. Finally- this programs could benefit CUs who would provide the program backbone (ensuring lending compliance- providing required documents- etc) as the CUs would realize a new revenue stream from the small service fees imposed. Leverging the burgoening growd sourcing movement- this new platform would bring borrowers and investors together from accross the nation/world to provide the funds needed to those who may lack other alternatives. By creating a community where individuals can invest in each other and offer collateral or security that may be unconvential by traditional standards- it creates new opportunities for the underserved. Group funding helps spread the risk and increases the likelihood of a loan being made. Surveying individuals on the likelihood of lending money to various individuals based on varying scenarios and circumstances. This would provide an opportunity to test potential investors appetite for risk and willingness to contribute varying amounts at varying interest yields. This could also provide an opportunity to test the impact that social currency of helping out someone in need has on individual's sense of accomplishment and resulting desire to contribute. It takes a community to build a community so i'd seek the OpenIDEO community to provide feedback on what they would value most from such a program (as a borrower or investor). I would determine the value of social currency- poll users to get a feel for risk tolerance- acceptable collateral- what role the CU industry could play to create a secure and trustworthy community where transactions could occur. Other,2,2,2,4,2
3D3B8GE8923YK368E5AML97RDYK9PZ,3D3B8GE8923YK368E5AML97RDYK9PZ, Financial advisors are often too expensive for those most in need of their services. Let's connect community members with students! This idea benefits those in need and students studying financing. Those in need can receive financial advice at a considerable lower rate than what they might pay a financial advisor. College students can charge a small fee and benefit from the real world experience of advising their community members. This idea connects those who have deep financial knowledge with those who don't. It empowers the community by making financial guidance more accessible and empowers those in school by helping them refine their expertise. We could see how willing community members might be to receive financial advice from college students and how willing student might be to refine their expertise in the real world. We could also explore price points/subscription models that are acceptable by all involved. An OpenIDEO Meetup,4,4,3,4,4
3DQYSJDTYLNKO8ZG870P70U56U9EX2,3DQYSJDTYLNKO8ZG870P70U56U9EX2, Give each beneficiary of food banks $10 and give them food each time after that only when they reproduce the $10. This idea benefits the 46.5 million people who use the service provided by Feeding America. The whole idea is to teach them to be financially independent thus eventually reducing the number of people depending on food banks. The beneficiaries can multiply the money using ideas around financial literacy which can be taught through various media such as flyers- camps- programs- etc. The disadvantaged demographic uses the Feeding America network on a regular basis to fulfill their food requirements. Each community can raise the funds needed to support this program so that the government does not have to bear the costs of running this initiative. The community can also help provide options to the disadvantaged people on how to multiply the $10 that they will receive. We can pilot this program in a single food bank to understand the feasibility of this project. Providing $10 to each individual who uses that food bank service and check whether they are utilizing the $10 to multiply the same. We can choose the bank that has a tight-knit community that supports the bank so that we can help more people to become financially sustainable. It will be interesting for me to know whether anyone in this community has tried something similar. I would also like to get suggestions around using money as a tool to foster accountability. Currently food banks provide food for free- but do you think giving money first and asking an individual to just retain the money over a period of time can teach her financial literacy? An individual,1,1,1,1,1
3DTJ4WT8BDR9T3ZV9POA4LAGEU7EZZ,3DTJ4WT8BDR9T3ZV9POA4LAGEU7EZZ, An app allowing parents to track their little sprouts financial literacy milestones - is my child on track? The app grows with your sprout This will help parents and children alike track their financial milestones - much like an app to ensure your child is accomplishing all of their developmental milestones. This app will allow users to keep there little sprouts on the right financial literacy track - not on track don't fret we have all the guides in place to connect you to the proper resources! Our challenge invites parents to come together as a community and share ideas- suggestions- what's working and more importantly what isn't. The app would provide forums searchable by key phrases such as how much does soccer camp cost? The app would grow with your sprout and connect parents by comparing their kids much like a development chart your child is in the 90th percentile for height and 60th percentile for weight. OpenIDEO Chicago could connect with a local school to review curriculum - what are kids REALLY learning about finical literacy? Once we obtain more information we would ask a verity of parents to attend an open forum night hosted by openIDEO - we would ask questions to better understand parental and child motivation for educating sprouts and what milestones they would be interested in their kids accomplishing. Ideally openIDEO Chicago would come up with a set of questions for other openIDEO communities to take to their local schools and/or parents. Do other regions- demographics- age groups want their children to learn different things or accomplish different goals? OpenIDEO Chicago would then synthesize the information and present it to the community in a concise format. An OpenIDEO Meetup,3,3,3,4,3
3EGKVCRQFW4BHAD63CK1P6VT53QBY5,3EGKVCRQFW4BHAD63CK1P6VT53QBY5, Make it easy for those with lower income to invest money for long term benefits. This idea generated from an article I read about the worth of the black woman. I was startled to know how many of us were not worth $5.However- for those that are in the lower level income bracket it becomes more crucial a task.So the demographics start with women who are making a living or less than a living wage and are still responsible for children. There are 1000s of organizations created to help women with getting jobs- financial literacy- and other issues that affect their lives.My approach is to teach them about savings and create a financial mechanism that will help them see the value of saving. The amount that I will ask for is $5.If I can reach 1-000-000 of us and show how $5 can grow I can inspire others to do the same. What I need is a mutual fund or bank that can help me run the program. Once I had the financial partner in place- I would be able to start with the Washington DC Metropolitan area with 100 women who are willing to invest in the fund. We would meet monthly- like an investment club- and watch the money grow. First- I need a financial partner who can advise me on creating the savings fund I envision. I would love to have partners who focus on women opportunities who can help me reach out to women and share the $5 Dollar Project.Everyone who believes in the idea is valuable as it could really change lives. An individual,1,1,2,4,1
3EHIMLB7F7B6THPAQ0W3C4AP71SH8D,3EHIMLB7F7B6THPAQ0W3C4AP71SH8D, A kickstarter-like campaign- but within your local community- that allows neighbors to give money using SMS- or with cash at a local store. For people who may not have access to bank accounts- credit cards or computers. And for those who do not have access to online crowdfunding tools. No computers needed! A group brainstorm,1,1,1,4,3
3EQPA8A3748H4JLNNQZ111N8J23JZP,3EQPA8A3748H4JLNNQZ111N8J23JZP, Create a platform that will enable financial awareness for children through neighborhood jobs This idea will benefit the community but primarily younger generations who are asked to identify opportunities within a neighborhood and then negotiate a price for the job. They will learn to be creative- entrepreneurial and financially responsible as they will gain a better understanding into the effort required to obtain compensation. This platform could work in all locations and demographics. The jobs would vary but the education taken from the experience would be life changing. Communities need a way for people to connect with one another beyond their immediate neighbors and offer up money making and financially educational opportunities to children or young adults so that they will learn these lessons earlier in life. The process would be to provide a platform for individuals to identify problems or jobs that are needed throughout the community. They would then approach the benefactor to negotiate a price for this service. From there the service could be provided. Gather our neighbors together and discuss the platform concept. We could then encourage the young people to seek out opportunities and begin to negotiate the importance and price of the service. This would help us better understand the needs of the platform before setting out on designing the solution to help facilitate the interaction. Feedback about how the solutions could be identified and captured. Testing the concept within different communities. Improving and iterations on the idea. Other,3,3,2,3,4
