idea,worker,rating
359AP8GAGGWBCV9BU3QWNDHEIUC7CB,ASB8T0H7L99RF,2
359AP8GAGGWBCV9BU3QWNDHEIUC7CB,A38DC3BG1ZCVZ2,5
360ZO6N6J1VSZ09VMPIU45DW7Y49M7,ASB8T0H7L99RF,4
360ZO6N6J1VSZ09VMPIU45DW7Y49M7,A38DC3BG1ZCVZ2,5
367O8HRHKGKU0PGOPRIPZ61MDV84SI,ASB8T0H7L99RF,2
367O8HRHKGKU0PGOPRIPZ61MDV84SI,A38DC3BG1ZCVZ2,4
36BTXXLZ2VKIZAGBA2IK9WWQRTP4RU,A38DC3BG1ZCVZ2,2
36BTXXLZ2VKIZAGBA2IK9WWQRTP4RU,ASB8T0H7L99RF,2
36D1BWBEHNDHZGOW1G3FUI5I1SUM2S,ASB8T0H7L99RF,2
36D1BWBEHNDHZGOW1G3FUI5I1SUM2S,AJ60KRY0FTB1F,4
36FFXPMST909E9CQXHLZ9Q0PLBRHOK,AAXYYH9MI3PJM,5
36FFXPMST909E9CQXHLZ9Q0PLBRHOK,A38DC3BG1ZCVZ2,4
36JW4WBR06WF8WZXYE29MWRBTA0HFY,A1V6CP5I0TOSAR,3
36JW4WBR06WF8WZXYE29MWRBTA0HFY,A38DC3BG1ZCVZ2,4
371Q3BEXDHLA3M4DAK8FT2EVEQAZSO,ASB8T0H7L99RF,3
371Q3BEXDHLA3M4DAK8FT2EVEQAZSO,A38DC3BG1ZCVZ2,4
373L46LKP7IMFOM1NPWREMZVEYLJK7,ASB8T0H7L99RF,4
373L46LKP7IMFOM1NPWREMZVEYLJK7,A38DC3BG1ZCVZ2,5
375VSR8FVWLY2740VV8A3S9ZSORZR0,ASB8T0H7L99RF,3
375VSR8FVWLY2740VV8A3S9ZSORZR0,A38DC3BG1ZCVZ2,5
378G7J1SJLA5Z8UQY2435HGYWXYEWD,A38DC3BG1ZCVZ2,3
378G7J1SJLA5Z8UQY2435HGYWXYEWD,ASB8T0H7L99RF,3
385MDVINFCRDAOGIC3FU2XTQ15UJW3,A1V6CP5I0TOSAR,4
385MDVINFCRDAOGIC3FU2XTQ15UJW3,A38DC3BG1ZCVZ2,4
388CL5C1RJZ18O9TKP57H9WVQ6MHL3,A38DC3BG1ZCVZ2,5
388CL5C1RJZ18O9TKP57H9WVQ6MHL3,ASB8T0H7L99RF,3
38DCH97KHHE8QRKW0UGOA8B4D4DJQZ,A38DC3BG1ZCVZ2,3
38DCH97KHHE8QRKW0UGOA8B4D4DJQZ,ASB8T0H7L99RF,1
38O9DZ0A62ZFAD34E0WY5M8WBSF26Y,A38DC3BG1ZCVZ2,3
38O9DZ0A62ZFAD34E0WY5M8WBSF26Y,ASB8T0H7L99RF,3
38XPGNCKHTCASHXSJMNUATLTCZ24VN,A1V6CP5I0TOSAR,4
38XPGNCKHTCASHXSJMNUATLTCZ24VN,A38DC3BG1ZCVZ2,4
391FPZIE4CY4REWNT3X88WSE3XFHUX,ASB8T0H7L99RF,5
391FPZIE4CY4REWNT3X88WSE3XFHUX,A38DC3BG1ZCVZ2,5
3ATYLI1PRTE55F7GLHOKL3G4Y3VJOR,A38DC3BG1ZCVZ2,4
3ATYLI1PRTE55F7GLHOKL3G4Y3VJOR,ASB8T0H7L99RF,3
3CIS7GGG65VS745L32P2NTV1BHNEUE,ASB8T0H7L99RF,4
3CIS7GGG65VS745L32P2NTV1BHNEUE,A38DC3BG1ZCVZ2,4
3CMV9YRYP3DXZU4J8P8STMCA3YQJLA,A38DC3BG1ZCVZ2,3
3CMV9YRYP3DXZU4J8P8STMCA3YQJLA,ASB8T0H7L99RF,3
3CVBMEMMXBS2T3KRGV4XY4EUVMH7HK,ASB8T0H7L99RF,3
3CVBMEMMXBS2T3KRGV4XY4EUVMH7HK,A38DC3BG1ZCVZ2,4
3D3B8GE8923YK368E5AML97RC3F9P3,A38DC3BG1ZCVZ2,2
3D3B8GE8923YK368E5AML97RC3F9P3,ASB8T0H7L99RF,2
3DFYDSXB2WC0IKRDH30TK98TGPJJU4,A38DC3BG1ZCVZ2,5
3DFYDSXB2WC0IKRDH30TK98TGPJJU4,ASB8T0H7L99RF,3
3DQYSJDTYLNKO8ZG870P70U55Z4EX6,A38DC3BG1ZCVZ2,4
3DQYSJDTYLNKO8ZG870P70U55Z4EX6,ASB8T0H7L99RF,5
3DTJ4WT8BDR9T3ZV9POA4LAGDZ2EZ3,ASB8T0H7L99RF,2
3DTJ4WT8BDR9T3ZV9POA4LAGDZ2EZ3,A38DC3BG1ZCVZ2,4
3E6L1VR4XWYZB7FG2VB5P52LKWKF6V,ASB8T0H7L99RF,4
3E6L1VR4XWYZB7FG2VB5P52LKWKF6V,A38DC3BG1ZCVZ2,4
3EN4YVUOUC4SZOL8M8BG4G7XA70JXW,A38DC3BG1ZCVZ2,5
3EN4YVUOUC4SZOL8M8BG4G7XA70JXW,ASB8T0H7L99RF,5
3EQPA8A3748H4JLNNQZ111N8I7XZJ8,A38DC3BG1ZCVZ2,2
3EQPA8A3748H4JLNNQZ111N8I7XZJ8,ASB8T0H7L99RF,2
3EQVJH0T40XPR1HYTY7Y306CKJ8HT6,A38DC3BG1ZCVZ2,5
3EQVJH0T40XPR1HYTY7Y306CKJ8HT6,ASB8T0H7L99RF,5
3FCO4VKOZ4PQ9TTPQUWRD1HH36P7E4,A38DC3BG1ZCVZ2,4
3FCO4VKOZ4PQ9TTPQUWRD1HH36P7E4,A1V6CP5I0TOSAR,5
3FULMHZ7OU9R2U3J5UM3NX2GL6Q4M6,A38DC3BG1ZCVZ2,4
3FULMHZ7OU9R2U3J5UM3NX2GL6Q4M6,ASB8T0H7L99RF,4
3FW4EL5A3L0RSCK3RYKVF9RKVND22H,A38DC3BG1ZCVZ2,5
3FW4EL5A3L0RSCK3RYKVF9RKVND22H,ASB8T0H7L99RF,1
3G57RS03HHHJR93Q9HMTDGUWFX425I,ASB8T0H7L99RF,4
3G57RS03HHHJR93Q9HMTDGUWFX425I,A38DC3BG1ZCVZ2,5
3G5RUKN2ECFYHIUVYQXUHK2WCOE9N7,A38DC3BG1ZCVZ2,4
3G5RUKN2ECFYHIUVYQXUHK2WCOE9N7,ASB8T0H7L99RF,2
3G9UA71JVV6YK9FH4V7IAHU98EL7JP,ASB8T0H7L99RF,4
3G9UA71JVV6YK9FH4V7IAHU98EL7JP,A38DC3BG1ZCVZ2,5
3GONHBMNHVA75RR8QNCTHTFPM1SZMC,ASB8T0H7L99RF,4
3GONHBMNHVA75RR8QNCTHTFPM1SZMC,A38DC3BG1ZCVZ2,4
3GVPRXWRPH62PYVBMDMIYGF9VZW7ID,ASB8T0H7L99RF,4
3GVPRXWRPH62PYVBMDMIYGF9VZW7ID,A38DC3BG1ZCVZ2,3
3I01FDIL6MKEVMIJON4CBSIOSE2D21,A38DC3BG1ZCVZ2,4
3I01FDIL6MKEVMIJON4CBSIOSE2D21,AKX5RHHO8BIUX,5
3I4E7AFQ2KBLI7COHYAJFDMRXBCJTD,A38DC3BG1ZCVZ2,3
3I4E7AFQ2KBLI7COHYAJFDMRXBCJTD,A11GWITH08KSKG,5
3I7KR83SNAPX9C9S1D5EPSLSIT99K2,A38DC3BG1ZCVZ2,4
3I7KR83SNAPX9C9S1D5EPSLSIT99K2,A1V6CP5I0TOSAR,4
3I7SHAD35M8OLHL27SKAQ9MQC8G7MT,ASB8T0H7L99RF,2
3I7SHAD35M8OLHL27SKAQ9MQC8G7MT,A38DC3BG1ZCVZ2,3
3IVKZBIBJ0LOC14J4Y28TVAQI0UHSH,A38DC3BG1ZCVZ2,4
3IVKZBIBJ0LOC14J4Y28TVAQI0UHSH,ASB8T0H7L99RF,2
3IZPORCT1FLCBM46P9233L5UWYBHRT,A38DC3BG1ZCVZ2,4
3IZPORCT1FLCBM46P9233L5UWYBHRT,ASB8T0H7L99RF,2
3KI0JD2ZU1UMWE0AKCDT1DP4M8176J,ASB8T0H7L99RF,4
3KI0JD2ZU1UMWE0AKCDT1DP4M8176J,A38DC3BG1ZCVZ2,5
3KLL7H3EGDD44TLNYT7D4IUXH4OHVM,ASB8T0H7L99RF,3
3KLL7H3EGDD44TLNYT7D4IUXH4OHVM,A38DC3BG1ZCVZ2,4
3KTCJ4SCVGDAAV60IC31PZVD9MGM1B,A38DC3BG1ZCVZ2,1
3KTCJ4SCVGDAAV60IC31PZVD9MGM1B,ASB8T0H7L99RF,3
3L21G7IH478A4CVE1FRCJUIKIWU1YG,ASB8T0H7L99RF,3
3L21G7IH478A4CVE1FRCJUIKIWU1YG,A38DC3BG1ZCVZ2,3
3L55D8AUFA9URF5CHCGW0Q1BMTLCYH,A38DC3BG1ZCVZ2,4
3L55D8AUFA9URF5CHCGW0Q1BMTLCYH,ASB8T0H7L99RF,3
3L60IFZKF3UZMSQ3T4Q9PH3O9PDHHW,A11GWITH08KSKG,2
3L60IFZKF3UZMSQ3T4Q9PH3O9PDHHW,A38DC3BG1ZCVZ2,5
3LEG2HW4UFZBT6WFFTZ2ZSL94RIF2E,ASB8T0H7L99RF,3
3LEG2HW4UFZBT6WFFTZ2ZSL94RIF2E,A38DC3BG1ZCVZ2,4
3LXX8KJXPWLGZ3U7Z5X7W9212YJ9OM,A38DC3BG1ZCVZ2,4
3LXX8KJXPWLGZ3U7Z5X7W9212YJ9OM,ASB8T0H7L99RF,5
3M93N4X8HKZK37Z9SY5T58Q5VSYJSO,ASB8T0H7L99RF,2
3M93N4X8HKZK37Z9SY5T58Q5VSYJSO,A38DC3BG1ZCVZ2,4
3MD8CKRQZZZ82SZWD95OFYL99QFJR0,A38DC3BG1ZCVZ2,4
3MD8CKRQZZZ82SZWD95OFYL99QFJR0,ASB8T0H7L99RF,2
3MJ9GGZYO3IGXFF74DDALRAI7B52AO,A38DC3BG1ZCVZ2,5
3MJ9GGZYO3IGXFF74DDALRAI7B52AO,ASB8T0H7L99RF,4
3MNJFORX8BG3S3F2XC10XZOLO19F5F,ASB8T0H7L99RF,5
3MNJFORX8BG3S3F2XC10XZOLO19F5F,A38DC3BG1ZCVZ2,5
3MXX6RQ9EVHXNX0WXAEV41WBQB14P2,ASB8T0H7L99RF,2
3MXX6RQ9EVHXNX0WXAEV41WBQB14P2,A38DC3BG1ZCVZ2,5
3N2YPY1GI6ASKJUL8SZ7JFXKPOWEV3,A38DC3BG1ZCVZ2,5
3N2YPY1GI6ASKJUL8SZ7JFXKPOWEV3,A11GWITH08KSKG,5
3NQUW096N6K8TIRAMDHF4SY77TE9L5,ASB8T0H7L99RF,5
3NQUW096N6K8TIRAMDHF4SY77TE9L5,A38DC3BG1ZCVZ2,5
3NRZ1LDP7WIDQUOLI34LYX9KR63ZP8,A38DC3BG1ZCVZ2,4
3NRZ1LDP7WIDQUOLI34LYX9KR63ZP8,ASB8T0H7L99RF,2
3ODOP6T3ASW1VQZQVC3J8OOIF1924D,ASB8T0H7L99RF,2
3ODOP6T3ASW1VQZQVC3J8OOIF1924D,A38DC3BG1ZCVZ2,5
3OZ4VAIBEXR0VZGDMTAYGVACUWSJVT,A38DC3BG1ZCVZ2,4
3OZ4VAIBEXR0VZGDMTAYGVACUWSJVT,A1V6CP5I0TOSAR,2
3P6ENY9P798ZIN1NZM8UPT4392SHIP,ASB8T0H7L99RF,2
3P6ENY9P798ZIN1NZM8UPT4392SHIP,A38DC3BG1ZCVZ2,3
3PA41K45VNGU6KIFZ8C27DGLHDR7PP,A38DC3BG1ZCVZ2,5
3PA41K45VNGU6KIFZ8C27DGLHDR7PP,ASB8T0H7L99RF,4
3PKJ68EHDN8VDYLTH4TU1UJ3MHHHJ1,A38DC3BG1ZCVZ2,2
3PKJ68EHDN8VDYLTH4TU1UJ3MHHHJ1,ASB8T0H7L99RF,4
3Q2T3FD0ONK6KYKF5GHKDSAA76UM33,A38DC3BG1ZCVZ2,5
3Q2T3FD0ONK6KYKF5GHKDSAA76UM33,A1V6CP5I0TOSAR,5
3QTFNPMJC6UDN9C82ORTU84PRR2ZNC,A38DC3BG1ZCVZ2,2
3QTFNPMJC6UDN9C82ORTU84PRR2ZNC,ASB8T0H7L99RF,2
3RDTX9JRTYD9EX28IJG5LNG6C9979U,ASB8T0H7L99RF,4
3RDTX9JRTYD9EX28IJG5LNG6C9979U,A38DC3BG1ZCVZ2,3
3RIHDBQ1NEALE6REK16MHMBKQBCHM5,A38DC3BG1ZCVZ2,5
3RIHDBQ1NEALE6REK16MHMBKQBCHM5,ASB8T0H7L99RF,2
3RQVKZ7ZRKVYEDH9XA1QB08S63Z27X,A38DC3BG1ZCVZ2,4
3RQVKZ7ZRKVYEDH9XA1QB08S63Z27X,ASB8T0H7L99RF,4
3S37Y8CWI8CN76XX9WSQWV47J844WX,A38DC3BG1ZCVZ2,3
3S37Y8CWI8CN76XX9WSQWV47J844WX,ASB8T0H7L99RF,1
3SBX2M1TKDZIN91BXNTK46MLV7N4QT,ASB8T0H7L99RF,2
3SBX2M1TKDZIN91BXNTK46MLV7N4QT,A38DC3BG1ZCVZ2,5
3SCKNODZ0XSU3Z62JTZA3OBQHYQ7NT,A38DC3BG1ZCVZ2,5
3SCKNODZ0XSU3Z62JTZA3OBQHYQ7NT,ASB8T0H7L99RF,5
3SV8KD29L44CF3R55BZD2GNLXWXZK7,A38DC3BG1ZCVZ2,3
3SV8KD29L44CF3R55BZD2GNLXWXZK7,ASB8T0H7L99RF,2
3T5ZXGO9DE0YQ6P0IGJAY2ZUW2PZQZ,ASB8T0H7L99RF,3
3T5ZXGO9DE0YQ6P0IGJAY2ZUW2PZQZ,A38DC3BG1ZCVZ2,5
3TC2K6WK9GE2ERMS7FTWP04NHN528K,A38DC3BG1ZCVZ2,2
3TC2K6WK9GE2ERMS7FTWP04NHN528K,ASB8T0H7L99RF,4
3TRB893CSJMOT7PGWPMFD42TGM47GL,AJ60KRY0FTB1F,4
3TRB893CSJMOT7PGWPMFD42TGM47GL,ASB8T0H7L99RF,2
3TY2U1TEB7MR44GJ54WFD7ZIZ9LJJ8,ASB8T0H7L99RF,2
3TY2U1TEB7MR44GJ54WFD7ZIZ9LJJ8,A38DC3BG1ZCVZ2,4
3UEDKCTP9V2TVTLZMG7UBWUMN3L7KO,A38DC3BG1ZCVZ2,2
3UEDKCTP9V2TVTLZMG7UBWUMN3L7KO,ASB8T0H7L99RF,2
3UQVX1UPFSTKW2HPCBGHWLY5YPT20X,A38DC3BG1ZCVZ2,4
3UQVX1UPFSTKW2HPCBGHWLY5YPT20X,ASB8T0H7L99RF,3
3URJ6VVYUPZF2XOVIA1GF1RLG654OL,A38DC3BG1ZCVZ2,4
3URJ6VVYUPZF2XOVIA1GF1RLG654OL,ASB8T0H7L99RF,2
3UUSLRKAULFLHNFPUZL77JZW3UO7DB,ASB8T0H7L99RF,2
3UUSLRKAULFLHNFPUZL77JZW3UO7DB,A38DC3BG1ZCVZ2,2
3UV0D2KX1MVLWKB2J7IQS7I7O5EF4A,A38DC3BG1ZCVZ2,5
3UV0D2KX1MVLWKB2J7IQS7I7O5EF4A,ASB8T0H7L99RF,2
3V8JSVE8YY29ODPQD3MRQE1E75YEYC,A38DC3BG1ZCVZ2,3
3V8JSVE8YY29ODPQD3MRQE1E75YEYC,ASB8T0H7L99RF,2
3VLL1PIENQ0V5UCK33R69X4UH17ZOR,ASB8T0H7L99RF,2
3VLL1PIENQ0V5UCK33R69X4UH17ZOR,A38DC3BG1ZCVZ2,4
3VW0145YLYOH5CM48197TZRZ33GJMC,ASB8T0H7L99RF,3
3VW0145YLYOH5CM48197TZRZ33GJMC,A38DC3BG1ZCVZ2,2
3WGCNLZJKFK7610N5J4Y698J08OD1K,A38DC3BG1ZCVZ2,3
3WGCNLZJKFK7610N5J4Y698J08OD1K,ASB8T0H7L99RF,2
3X4Q1O9UBHYCLK6EK8ZNIDBV78V7O8,ASB8T0H7L99RF,2
3X4Q1O9UBHYCLK6EK8ZNIDBV78V7O8,A38DC3BG1ZCVZ2,5
3X52SWXE0XHQ2AAC2BY8FTGVBLLCWI,ASB8T0H7L99RF,3
3X52SWXE0XHQ2AAC2BY8FTGVBLLCWI,A38DC3BG1ZCVZ2,4
3X878VYTIEUIF7TLL5GXVJ2HF747FM,A38DC3BG1ZCVZ2,4
3X878VYTIEUIF7TLL5GXVJ2HF747FM,ASB8T0H7L99RF,4
3XD2A6FGFN6VXVM06MEGGEC2ZNM9SJ,A38DC3BG1ZCVZ2,4
3XD2A6FGFN6VXVM06MEGGEC2ZNM9SJ,ASB8T0H7L99RF,4
3XDJY5RK5SXAF28SEWDPE7JAYST4UY,A38DC3BG1ZCVZ2,2
3XDJY5RK5SXAF28SEWDPE7JAYST4UY,ASB8T0H7L99RF,2
3XEIP58NL0ZNZ99NQBBEHG00MW2ZLA,A38DC3BG1ZCVZ2,5
3XEIP58NL0ZNZ99NQBBEHG00MW2ZLA,A2WTDVHVVORNDU,5
3XH7ZM9YX26JWGMNRXEBQ476DL39RV,A38DC3BG1ZCVZ2,4
3XH7ZM9YX26JWGMNRXEBQ476DL39RV,ASB8T0H7L99RF,2
3XUSYT70ITD7ZCF5900YS4P9VGID0H,A38DC3BG1ZCVZ2,2
3XUSYT70ITD7ZCF5900YS4P9VGID0H,ASB8T0H7L99RF,2
3YD0MU1NC2DNJGCDAPU5HIRQIRR7A9,A38DC3BG1ZCVZ2,5
3YD0MU1NC2DNJGCDAPU5HIRQIRR7A9,ASB8T0H7L99RF,4
3YKP7CX6G2RS2QH5G3U1CTBW09C7B4,A38DC3BG1ZCVZ2,4
3YKP7CX6G2RS2QH5G3U1CTBW09C7B4,ASB8T0H7L99RF,4
3YLPJ8OXX8P2W62NJ1OCYEIESAA4XQ,ASB8T0H7L99RF,5
3YLPJ8OXX8P2W62NJ1OCYEIESAA4XQ,A38DC3BG1ZCVZ2,5
3ZLW647WAL7GDUGMVYY0YJWC11D23S,A38DC3BG1ZCVZ2,4
3ZLW647WAL7GDUGMVYY0YJWC11D23S,ASB8T0H7L99RF,2
3ZURAPD288Z44LEJWPZOU9B4CL4F1X,A38DC3BG1ZCVZ2,2
3ZURAPD288Z44LEJWPZOU9B4CL4F1X,ASB8T0H7L99RF,2
3ZXNP4Z39RX4FZ3H7GJVQW71C3Q7LR,A38DC3BG1ZCVZ2,4
3ZXNP4Z39RX4FZ3H7GJVQW71C3Q7LR,ASB8T0H7L99RF,2
