idea,winning,final_feedback
 Peer lending network offering a borrowing alternative for those who can't obtain conventional loans; program infrastructure provided by CUs.  This program would benefit individuals who cannot oftain a convential loan product from a bank /CU (perhaps due to lack of credit or poor credit). It would also benefit individual's who are interested in taking on more investment risk for a potentially higher yield. Finally- this programs could benefit CUs who would provide the program backbone (ensuring lending compliance- providing required documents- etc) as the CUs would realize a new revenue stream from the small service fees imposed.  Leverging the burgoening growd sourcing movement- this new platform would bring borrowers and investors together from accross the nation/world to provide the funds needed to those who may lack other alternatives. By creating a community where individuals can invest in each other and offer collateral or security that may be unconvential by traditional standards- it creates new opportunities for the underserved. Group funding helps spread the risk and increases the likelihood of a loan being made.  Surveying individuals on the likelihood of lending money to various individuals based on varying scenarios and circumstances. This would provide an opportunity to test potential investors appetite for risk and willingness to contribute varying amounts at varying interest yields. This could also provide an opportunity to test the impact that social currency of helping out someone in need has on individual's sense of accomplishment and resulting desire to contribute.  It takes a community to build a community so i'd seek the OpenIDEO community to provide feedback on what they would value most from such a program (as a borrower or investor). I would determine the value of social currency- poll users to get a feel for risk tolerance- acceptable collateral- what role the CU industry could play to create a secure and trustworthy community where transactions could occur.  Other ,0,0
 This is a social event empowering millennials with critical financial planning skills- tools/resources they otherwise do not have access to.  College students- grads w/ student debt- non-college both working & unemployed- those dependent onassistance &little to no retirement located select counties in Indiana.We'retargeting young adults to provide alternatives/preventative education for current/future struggles.They will have direct access to financial education- tools/resources- asset building- planning &support to establish long term financial security in a socially fun setting provided by Natco Credit Union.  Natco will kick this off with an “Amazing Race”community challenge.Participants will go to various small business/centers to complete a challenge then given a clue to continue to event. Challenges will include financial activities related to the event theme.At the venue- guest speakers willshare info. on debt/credit- home ownership- student loans- employment- retirement- investing- etc. These community business owners/experts agree to actively follow up with participants one on one post events  Natco Credit union will be seeking the assistance of a few millennial volunteers from our target market to assist in the planning and preparation of the weekly/monthly social events.We then willhost a Financial Happy Hour event to gauge the level of interest and to ensure that topics are on target and we are impacting our future community leaders. This will also provide opportunity to access marketing content such as pictures- reviews and create a social media buzz.  We have seen similar programs being offered abroad with solid turnout and positive outcomes.We seek assistance/support with the topic content- incentives-delivery/group engagement- interactive activity ideas with long term impact & any input that would contribute to the financial freedom of our attendees.There is nothing even close to this program in our area and we have many young adults who are lost and have no financial knowledge whatsoever.  A group brainstorm ,0,0
 We will roll out a savings product for RMG workers and measure the impact of work-place networks on the decision to use this product.  RMG workers often choose to work in the sector for the purpose of meeting specific savings goals. We will partner with a local bank- to offer RMG workers a savings product known as a DPS (Deposit Premium Scheme). This allows them to commit to a savings amount on a monthly basis for a fixed tenure- which can overlap with their anticipated tenure in the RMG sector. Thus- when they go back to their home villages they would have either met their goals or accrued enough to meet their savings goals.  From poor accessibility to a bank- to a lack of products catered to the needs and income flows of the poor- there are many barriers to engaging with the formal financial sector. This affects their friends and family equally- resulting in a lack of knowledge on how and where to save. Hence- they are in need of reliable sources for financial advice. We try to solve this problem by using work place networks to measure the effect of peers- managers and high-performing peers on saving decisions.  The experiment will have two rounds. In the first round- we will offer the product to managers- high-performing workers and normal workers. In the second round- we will offer the product to workers under different information treatments. Some will learn of the take-up rates of managers- others peers or high-performing workers.A control group will be offered the product with no information and there will be also be a group that isn’t offered the product. Treatment assignment will be randomized.  We are looking to place this idea on a platform where it can grow and gain support in terms of design from ideas on how a similar product can be rolled out in other practical settings. We also hope to benefit from the networks within the OpenIDEO community to disseminate our findings so that it can be further refined and applied in alternate settings.  A group brainstorm ,0,0
 Creating affordable- agile- and empowering marketplace of learning community  4x3x2x1group encourages trust- focus and active participation by limiting number of participants- no of meetings and duration. The attendees will benefit from supportive- flexible- affordable- and personal learning program while the leader receive incentive- develop network- experience and skills. It allows the less fortunate to monetize skills they have much more easily. Such model can be more attractive for business and organization to sponsor given its measurable impacts.  Community Guideline is critical for a community to thrive. We propose new guideline that can be easily adopted in existing community structures- systems and values. The guideline brings recommended practices of effective group building through optimum number of participants- catalyze trust and bonding through repeat interactions- yet limit commitment needed. It incorporate money as incentives and create new financial opportunities by sharing skills - ultimately create new skill-based marketplace  A local meetups can be organized based on approaches mentioned above- featuring a mentor on basic financial management. The goal of the experiment is to invite- get participants to pay- attend all 3 sessions and satisfy the learning objectives.Some questions: - Should we pay at each session? as lump sum for all sessions at the beginning or at the end? - Should we make a bigger group with lower fees or small group with higher fees?- Should we use money or tokens?  The idea needs inputs especially from those who have experience as facilitator and helping out those with financial challenges. What works? What doesn't? How can we communicate the group / community rules better? What bite-sized financial management topics that is relevant? What guidelines can be provided for group leader to organize and facilitate meetups successfully?  An OpenIDEO Meetup ,0,0
 Find people in your community to enlarge your buying power and save  In a community there are people who need the same products at the same point of time. Why couldn't they get together to buy more- share this and safe money instead? This idea is targeting families and singles who are frequent internet shoppers.  A community's power is stronger than the sum of each individual. This can also be related to the power of the customers against suppliers. A community would be able to get cheaper prices for groceries- clothes and other commodities buy collecting their demand and forcing the suppliers to lower the price.  Collect the demand of notebooks at the beginning of a new semester in my students club and get the cheapest price online. See how much you can share and which commodities can be purchased via this approach. The experiment could be enlarged by saving demand for an order of new clothes when seasons change.  Do you think collecting the demand and scheduling the orders will work via an app? How could the community search for the cheapest offers?  An individual ,0,0
 The ideal app would present data in the right context- structure incentives to encourage positive behavior- and enable social interactions.  Anyone that uses a smartphone and is interested in opportunities for more successful financial management could engage with this tool. Access to traditional financial services is not a requirement; the app can help manage spending for anyone that users payment systems that are connected digitally - traditional banks- Paypal- digital currencies- etc.  A key element of this tool is the ability to use community benchmarks to better understand spending patterns- and share spending/saving behaviors with others in your network. We believe that opportunities to make anonymous comparisons with other people in similar situations and share positive financial behaviors openly within your network spread knowledge and encourage positive decisions.  There are opportunities to test the contextually relevant budget capability using a behavioral test at a local grocery store - participants would be presented with budget information and details on their past spending as they enter the store- and a follow-up interview would assess the impact on their spending. Similar small prototypes could be created to test the impact of personalized rewards (iTunes/Netflix) on weekly spending as well as benefits associated with social budgeting/benchmarking.  It would be great to receive input across a few key questions - What causes individuals to loose track of their budget?- What are locations when it would be helpful to receive advice/information about your spending?- What are other incentives beyond iTunes/Netflix that users would want to receive daily/weekly/monthly as a reward for positive spending behavior?  A group brainstorm ,0,1
 How might we promote financial literacy throughout a comic book?  Mostly- children- teenagers who are interested in comic books and its storytelling format.  A comic book can be used in schools by teachers for a playful teaching method- read by children by themselves- be adapted to digital channels.  Maybe sketching some possible scenarios for how a comic book can work for financial literacy.  Book design- graphic design- education- storytelling- writing- etc  Other ,0,0
 Using financials and community expertise to easier handle the most important products.  The idea is to handle the most important products for living or production with network of experts to facilitate a more efficient use of the highest spendings. The fourth highest expenses worldwide are spend at the moment for transport- for example. The group would take the most important category within the city or region and build up a expert network- providing clients with datas for this product and even build up a concept for this segment.  The idea is not centered on abilities- but on spending experiences and community expertise. The network of producers and shop owners can narrow the spendings for a category down and with financial support from sponsors even beyond the usual spendings. A lot of expenses are not structured- for example when I analyse that during one year most of the expenses for traffic happen because of a defect part. The idea would be to analyse and then using the community to act better and fairer.  Companies- shop owners and production facilites can be asked what they are able to provide. Production facilites can provide parts- shop owners special services and the team must solve the problem- how such a small ecosystem could raise the necessary attention- stay attractive as well as financial able to guarantee a good service.  I am interested if a similar project already exist- for example for a single product or category and what other transaction methods can be used for such an idea.  An individual ,0,0
 First-generation college alumni can help counsel 1st gen college students and help them avoid financial pitfalls (updated 6/2/15)  Mid-20 to mid-30s 1st generation college alumni could work with current 1st gen students- counseling them through what is often a difficult transition that is poorly understood by those who haven't gone through it.  For almost every college- there is a group of dedicated college alumni who donate to the college- interview perspective students- and are willing to talk with students about their careers. Those alumni who experienced the difficulties of being first generation college students would likely be willing to reach out to first generation students now- to help them manage the tribulations- temptations- and expense of college life.  As a 1st gen alum living near my alma mater (and now in business school there)- I will talk to my university about the potential of this idea.  An individual ,0,1
 Please respond to our user needs survey - https://www.surveymonkey.com/s/JZRWF2QMaking the small print legible- accessible and engaging.  Increasing financial literacy for loans at the point of purchase by making financial terms and their consequences really clear- accessible and engaging.Primarily focused on unsecured loans with high interest rates (pay day loans- credit cards- pawning agreements- credit to purchase goods or services (like those offered by some electronic / furniture shops- car companies and builders)).  Using crowdsourcing mechanisms to help connect people who want to know what the financial implications of taking a loan will be with a community of experts who can clearly communicate that cost.  Prototyping Need: Sitting down with someone who might take out a high interest loan to explore (1) their decision making process regarding the loan; and (2) pain points relating to understanding the consequences that fall out of a financial contract. Prototyping translators: Creating a video pitching the idea at the people who would help translate the contracts and see how they react to the idea.  Poke holes in the idea- tell me what's working and what isn't.Share your experiences around interpreting financial contracts - what was difficult- what was easy- did you pay much attention to the terms- have any terms bitten you later on?  An individual ,0,1
 Combining a financial tool with integrated information- allowing the user to find answers to questions as they come.  This idea could benefit anyone with savings that wants to be better informed about how to manage their money. Once you start doing some research about where to place your savings you realize you have to be concerned about inflation- high fees- interest rates- etc. Automated investment services such as Betterment offer an easier way to invest- but these tools are not entirely transparent. This idea is for savers who want to build some basic financial skills but don't know where to begin.  Today- robo-advisors supply online investment management and financial advice through desktop platforms and mobile apps. This idea is leveraging the infrastructure of this existing system- using it as a medium to incite intrigue and furnish detailed information explaining metrics and jargon.  Lightweight prototypes could be made using spreadsheet programs such as Excel or Numbers. The success and presence of current tools; for example- automated investment services or robo-advisors such as Betterment and Wealthfront- is an indicator of the potential for this idea. Both founded in 2008- Betterment currently controls $1.4 billion in client assets while Wealthfront has $2 billion in assets under management.  Business and finance expertise- UX design- Spreadsheet prototyping- Software development  An individual ,0,0
 Creating a social card & account linked to a network of community funds & projects within my bank to facilitate social funding & development  The idea creates a network within the existing financial system through a community bank as part of an existing bank- that includes accounts for NGOs- local & global community projects- citizens looking for loans and small initiatives as well as bank members willing to contribute financially. In addition- the bank members will get a debit card for their social accounts to facilitate donating and create a simplified connection to those needing funds within the current system & community.  Members of the community are often encouraged to do good by seeing others do so. The idea is to give social community hubs- such as cafes- libraries- stores etc. accounts in the community bank or connect them back to the network so as to use them as an outlet for people to use the social card. While buying a coffee- they can use their card to quickly donate to any of the projects registered at the bank. Meanwhile- allowing others to see a simplified way of contributing within their own community  A simple way is to create a sample of the social card and start using it within local community hubs and introduce it to the community. Thereby- you can test the communities reaction to the idea and their willingness to become part of the network whether as donor or receiver. It is also essential to test the banks willingness to set up such a network within their system- though it will not require their financial contribution- but merely their management.  The idea allows for a lot of creative development and assessment. This includes ideas such as cafes creating their own account for people to put in money for free coffee for homeless people etc. It will also require input and further development as to how to integrate it within the financial system and back to the community.  An individual ,0,0
 Property owners providing free short term accommodation to those in need (e.g. victims of domestic violence) through channels like Airbnb.  Existing property owners who already rent out part or all of their property could provide accommodation for free- as a form of (tax deductible?) donation to individuals and families needing short term accomodation and support following a personal/financial crises. This provides people with 'breathing space' in a safe environment to work out their financials and 'where to from here'.  This taps into existing communities on site like Airbnb- private rental and couchsurfing sites. It focuses on close geographical communities (i.e. housing people from your own city) and could involve some kind of matching system so that property owners could support people of similar age- who have had a similar crises in the past etc. It could also be facilitated by charities/housing services to reduce risk and increase safety of both parties.  Airbnb already offers something like this in the USA for people post a large natural disaster (e.g. Hurricane Sandy). This could be expanded to other countries and other accommodation sites.  Input from people using sites like Airbnb as either a guest or a property owner. Input from people working at charities that require housing options for clients (e.g. charities dealing with domestic violence- new migrants- homelessness). This contribution started at the Melbourne OpenIDEO meetup.  An OpenIDEO Meetup ,0,0
 Transformation from downward spiral of debt trap to upward path of financial inclusion using data analysis  At the core of it- the idea benefits MSMEs (ex: small holder farmer in Indonesia - referred as Taman) in emerging markets. Taman is farmer in Indonesia who does not have access to credit. But it will also create value for financial institutions (MFIs and Commercial Banks) and the Government. MSMEs will get loans and saving tools faster- easier and cheaper. Profitability of MFIs would be improved up to 5 times and the Government will be able to meet development targets.  TRUST- is a major adoption barrier in the whole process. and close second is education. The idea will use informal networks of the community- informal data exchanged in the community and the existing trust between community member to develop and deliver the solution. Consider small holder farmers in Indonesia- they have community based solutions for agri-info and financial support. But there are ways to improve existing model to achieve scale and impact using data present in current model.  An application prototype would be build to deliver on envisioned experience map for accessing financial services. This app would be used to help each stakeholder experience the solution. Farmers will be asked to give information required for solution and key assumption can be tested. The feedback would be incorporated to refine it further leading to a product tailored to specific needs. Providing The existing users of current model can be provided services to test the efficacy of the solution.  I believe the solution to promote financial inclusion varies by community. There are a lot of informal models to doing daily activities that vary from community to community. Communities within a country are closely linked- but again vary by current work industry. A better understanding of the needs of farmers and MFIs would in refining the solution further.  An individual ,0,0
 See your old age nest egg grow  This idea benefits the low income people who do not have enough disposable income to save for old age  There should be a law mandating 8% payment to a pension account for every payment you make to a person not covered by a pension plan but forward thinking communities can implement this in their communities without waiting for a law  We can take one ward in Delhi out of 272 and see what people think of the idea and how many individuals who use domestic help and how many businesses who have employees not covered by pension- pay the 8% pension.  Is this idea unique or has this been done elsewhere. If it has been done elsewhere examples will help adoption in Delhi.  An individual ,0,0
 Financial literacy changes as you become more empowered  It benefits those who seek to improve financial literacy and those who receive financial literacy training  In every community there are early adopters who will learn quickly as long as the learning is immediately relevant and delivered in easily digestible doses. They will then teach their friends  Our hypothesis is that poor households have gotJan Dhan bank accounts(J)- Aadhar cards (A)and most of them have mobile phones (M). This is called the JAM trinity in India.They now need to get the mobile phone linked to their account- get alerts and an MMID number. They need tolearn to use their debit cards at an ATM. We may test this soon in one of 272 wards in Delhi. This will enable them to receive money directly into their accounts. We will then get govt benefits/wages credited directly  Has a similar easy step approach been used anywhere else . If it has worked and is documented then it would be great if links could be provided or documents uploaded.  A group brainstorm ,0,0
 Each student would receive a salary based on performance- participation- and other school credentials to use for lunch and school store.  This idea benefits the world because if young kids are educated about how to spend their money; they directly impact the future of our economy. The users would be parents- teachers- school employees- and the students- of course. This is targeting kids from K to 5th grade. The teachers would have to plan a system on the salary for each student and what are the factors that play into it. I think we could start in the public schools in Chicago or another big public school network.  This idea is leveraging the family communities in big cities to bring together their kids- teachers- and parents. Usually kids learn about handling money in high school and by that point- it is too late because there will always be a divide in the financial health of each household. By learning the value of a dollar early on- the kids will gain insight on how to spend their money- what their needs are vs. their wants- and how to treat others equally.  I could go to my old middle school or elementary school and try to test this idea out in one class. I could work with the teacher and the parents to come up with a salary system. Then the kids could just buy things during class and then we came move further to lunch or the school store.  I need help to come up with a structured plan around this idea. When I was younger- I went to a children's museum in Chicago where there was a fake grocery store and I could pick out the things I wanted and go to the cashier. I had a limit based on the fake money I had. I want to emulate the same kind of experience every day for kids because it made the experience of money super fun!!  An OpenIDEO Meetup ,0,0
 Social Platform for Non-Governmental Organizations  Doar would benefit people who participate of the donation process. The Non-governmental organization (NGO) have to be funded by donations- and sometimes this is not a financial process. Because of this- they receive different types of products- and possibly these products don’t fulfill their needs in that time. In this sense- Doar will be a platform that could help the communication between this two parts and this process.  Donation is a process that helps many people around the world to have a decent life. With Doar this process will be easier. As an example- according to Instituto Comunitario da Grande Florianopolis (ICom)- only in my city Florianopolis- SC/Brazil are more than two hundreds unities of NGO’s. With DOAR in this community- the donation process would be easier and more financially efficient for these organizations.  I could apply this project in Florianopolis- SC/Brazil- because the donation scene is really big. Furthermore- I could enter in contact with the NGO’s inviting them to participate of the project- showing the importance of the platform. As well- I could do a connection with the contributors- such as big companies of the region and philanthropists. Once this project was implemented in a city- will be easier to open for different locations and countries.  The community of OpenIDEO could help with the ideation of new features and feedbacks. Also- the development of the digital platform could be a really good help!  An individual ,0,0
 Make it easy for those with lower income to invest money for long term benefits.  This idea generated from an article I read about the worth of the black woman. I was startled to know how many of us were not worth $5.However- for those that are in the lower level income bracket it becomes more crucial a task.So the demographics start with women who are making a living or less than a living wage and are still responsible for children.  There are 1000s of organizations created to help women with getting jobs- financial literacy- and other issues that affect their lives.My approach is to teach them about savings and create a financial mechanism that will help them see the value of saving. The amount that I will ask for is $5.If I can reach 1-000-000 of us and show how $5 can grow I can inspire others to do the same. What I need is a mutual fund or bank that can help me run the program.  Once I had the financial partner in place- I would be able to start with the Washington DC Metropolitan area with 100 women who are willing to invest in the fund. We would meet monthly- like an investment club- and watch the money grow.  First- I need a financial partner who can advise me on creating the savings fund I envision. I would love to have partners who focus on women opportunities who can help me reach out to women and share the $5 Dollar Project.Everyone who believes in the idea is valuable as it could really change lives.  An individual ,0,0
 Embed playgrounds with geometry lessons as a catalyst for independent thinking and empowerment  Integrating geometric concepts into the design of playgrounds will produce a tangible and localized catalyst for learning. This idea assumes that we empower communities where education and financial independence remain stagnant. Young children may see the playground in one way as they play. Teenagers may model it with class geometry topics (flexible). Learning in an environment normally intended for play will help to make math concepts fun- relatable and transferable to other endeavors.  The idea maintains focus on the design of ‘learning playgrounds.’ It also strives to create dexterity and engagement with a space- its learning and the community. For example- returning students could share their knowledge by explaining to younger kids how ‘learning playgrounds’ can and may have been applied in real life. Local communities could host class projects where students would be responsible for adding design features- class lessons or projects with the playground and its space etc.  Kids familiar with geometry (grades 8-12) could be divided into groups. Each group would be given a limited amount of fluorescent colored duct tape. The exercise requires each group to build at least 4 different shapes on the playground. However- each shape can only be made with one color of tape. This exercise promotes critical thinking about space- resources- collaboration and the need to trade equal amounts of tape between groups in order to complete the assignment. (Hand outs encouraged)  Child and learning development expertise. Other applications of the idea. Alternative materials. Playground designers. Risks or limitations associated with the exercise. Playground to help.think.play  An individual ,0,0
 Napkin Finance is a visual- engaging- and fun guide to learning about money and finance.  Our mission is to help millennials and young adults make smart money decisions. We have developed Napkin Finance as a quick and easy resource on everything you need to know about money in 30 seconds or less. It teaches readers how to take ownership of their personal finances and understand the power and impact behind making informed money decisions.Our platform helps organizations and financial institutions create a lifetime of financial well-being for their members and customers.  Learning about finance can be intimidating and oftentimes overwhelming. The opportunity to create a lifetime of financial success is limited by the lack of access and skills.We partner with organizations that are working with young adults that may never otherwise have access to financial education. Napkin Finance has become a community of ideas and concepts that empowers readers to fully understand the complexity of personal finance.  The Napkin Finance platform is simple and easy to understand- administer- and distribute. It can be tested in schools and with organizations that are working with young adults.We hope to evaluate the effectiveness of our finance literacy program on different age groups and skill sets.We are also working on a more interactive napkin with videos and clickable images.  We are working with specialists and experts in various fields to develop our curriculum and content.From the OpenIDEO community- we would love feedback on the design- clarity- and usefulness of our current program.We would also welcome suggestions for additional topics and categories and how to make the platform more engaging.  An organization ,0,1
 Paying for use of mass transit systems through financial literacy programs.  Those that are using mass transit are given discount options for engaging in financial literacy programs.  Mass transit systems which are used globally target specific segments of communities; namely those that need a cheaper alternative to personal transit (personal cars)  Pending funding from an outside source- testing question answers to audiences in exchange for discount access to local mass transit systems.  An organization ,0,0
 Teaching financial literacy in terms that a person can relate to  Most of us do not study finance and let's face it- it can be tedious and boring to look these terms up or try learning about them. I think this idea can benefit people who don't want to spend much time or energy trying to be a finance literate. This will make learning financial literacy fun!!  Each of us have an obsession or weakness for something. For some it is shoes- for some it is gadgets or books etc. How about which translate all the financial terms into those terms. Say- Person A likes to buy a lot of shoes. So we translate terms like funds- savings- investing - learning how money works in terms of number shoes he/she can buy or is equal to.A mobile application can be built to do this. This would make the entire process fun.  An individual ,0,0
